Ship_mode,Country,State,City,Division,Region,Product_Name,Sales,Units,Gross_profit,Cost,gross_margin,profit_per_unit,margin_category,profit_category
Standard Class,United States,Kentucky,Henderson,Chocolate,Gulf,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.67,2.4,High Margin,Low Profit
Standard Class,United States,Texas,Huntsville,Chocolate,Interior,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92,2.11,High Margin,Low Profit
Standard Class,United States,Texas,Huntsville,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,26.25,7,17.15,9.1,65.33,2.45,High Margin,High Profit
Standard Class,United States,Texas,Laredo,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33,2.45,High Margin,Low Profit
Standard Class,United States,Texas,Laredo,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33,2.45,High Margin,Low Profit
Standard Class,United States,Virginia,Springfield,Chocolate,Gulf,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,64.92,2.11,High Margin,Loss Making
Standard Class,United States,Virginia,Springfield,Other,Gulf,Wonka Gum,1.25,1,0.65,0.6,52,0.65,High Margin,Loss Making
First Class,United States,Delaware,Dover,Chocolate,Atlantic,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92,2.11,High Margin,Low Profit
Standard Class,United States,California,San Francisco,Chocolate,Pacific,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92,2.11,High Margin,Low Profit
Second Class,United States,South Carolina,Mount Pleasant,Chocolate,Gulf,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6,71.35,2.49,High Margin,High Profit
Standard Class,United States,California,San Francisco,Chocolate,Pacific,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,64.92,2.11,High Margin,High Profit
Standard Class,United States,Ohio,Newark,Chocolate,Atlantic,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2,69.44,2.5,High Margin,Low Profit
Second Class,United States,Louisiana,Bossier City,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33,2.45,High Margin,Low Profit
Second Class,United States,Louisiana,Bossier City,Other,Gulf,Kazookles,9.75,3,0.75,9,7.69,0.25,Low Margin,Loss Making
Second Class,United States,Louisiana,Bossier City,Chocolate,Gulf,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92,2.11,High Margin,Low Profit
Standard Class,United States,Ohio,Newark,Chocolate,Atlantic,Wonka Bar -Scrumdiddlyumptious,25.2,7,17.5,7.7,69.44,2.5,High Margin,High Profit
Second Class,United States,Louisiana,Bossier City,Chocolate,Gulf,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,64.92,2.11,High Margin,High Profit
Standard Class,United States,California,San Francisco,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5,71.35,2.49,High Margin,High Profit
Second Class,United States,Louisiana,Bossier City,Chocolate,Gulf,Wonka Bar -Scrumdiddlyumptious,21.6,6,15,6.6,69.44,2.5,High Margin,High Profit
First Class,United States,Pennsylvania,Philadelphia,Other,Atlantic,Wonka Gum,5,4,2.6,2.4,52,0.65,High Margin,Loss Making
First Class,United States,Georgia,Roswell,Chocolate,Gulf,Wonka Bar -Scrumdiddlyumptious,18,5,12.5,5.5,69.44,2.5,High Margin,High Profit
Second Class,United States,Pennsylvania,Philadelphia,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,22.5,6,14.7,7.8,65.33,2.45,High Margin,High Profit
Second Class,United States,Pennsylvania,Philadelphia,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.67,2.4,High Margin,Low Profit
Second Class,United States,Pennsylvania,Philadelphia,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33,2.45,High Margin,Low Profit
Second Class,United States,Pennsylvania,Philadelphia,Chocolate,Atlantic,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44,2.5,High Margin,Low Profit
Second Class,United States,Oregon,Springfield,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,13.96,4,9.96,4,71.35,2.49,High Margin,High Profit
First Class,United States,Arizona,Scottsdale,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,65.33,2.45,High Margin,High Profit
First Class,United States,Arizona,Scottsdale,Chocolate,Pacific,Wonka Bar - Fudge Mallows,36,10,24,12,66.67,2.4,High Margin,High Profit
First Class,United States,Arizona,Scottsdale,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,65.33,2.45,High Margin,High Profit
First Class,United States,Arizona,Scottsdale,Chocolate,Pacific,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,66.67,2.4,High Margin,High Profit
Standard Class,United States,Arkansas,Jonesboro,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33,2.45,High Margin,Low Profit
Standard Class,United States,Michigan,Westland,Chocolate,Interior,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,66.67,2.4,High Margin,Low Profit
Standard Class,United States,Michigan,Westland,Chocolate,Interior,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,66.67,2.4,High Margin,Low Profit
Standard Class,United States,Arkansas,Jonesboro,Chocolate,Gulf,Wonka Bar - Milk Chocolate,13,4,8.44,4.56,64.92,2.11,High Margin,Low Profit
Standard Class,United States,California,Los Angeles,Chocolate,Pacific,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92,2.11,High Margin,Low Profit
Standard Class,United States,Michigan,Westland,Chocolate,Interior,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,66.67,2.4,High Margin,High Profit
Standard Class,United States,Arkansas,Jonesboro,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,26.25,7,17.15,9.1,65.33,2.45,High Margin,High Profit
Standard Class,United States,Arkansas,Jonesboro,Chocolate,Gulf,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44,2.5,High Margin,Low Profit
Standard Class,United States,Michigan,Westland,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3,71.35,2.49,High Margin,Low Profit
Standard Class,United States,Michigan,Westland,Chocolate,Interior,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,64.92,2.11,High Margin,High Profit
Standard Class,United States,Tennessee,Smyrna,Chocolate,Gulf,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1,71.35,2.49,High Margin,Loss Making
Standard Class,United States,Michigan,Westland,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,65.33,2.45,High Margin,High Profit
Standard Class,United States,Arkansas,Jonesboro,Chocolate,Gulf,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,66.67,2.4,High Margin,Low Profit
Standard Class,United States,California,Los Angeles,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2,69.44,2.5,High Margin,Low Profit
Standard Class,United States,Michigan,Westland,Chocolate,Interior,Wonka Bar - Fudge Mallows,3.6,1,2.4,1.2,66.67,2.4,High Margin,Loss Making
Standard Class,United States,Michigan,Westland,Chocolate,Interior,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92,2.11,High Margin,Low Profit
Standard Class,United States,Arkansas,Jonesboro,Chocolate,Gulf,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4,66.67,2.4,High Margin,High Profit
Second Class,United States,Florida,Miami,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33,2.45,High Margin,Low Profit
Standard Class,United States,Indiana,Lafayette,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33,2.45,High Margin,Low Profit
Standard Class,United States,Nevada,Las Vegas,Chocolate,Pacific,Wonka Bar - Fudge Mallows,21.6,6,14.4,7.2,66.67,2.4,High Margin,High Profit
First Class,United States,South Dakota,Rapid City,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33,2.45,High Margin,Low Profit
Standard Class,United States,Virginia,Alexandria,Chocolate,Gulf,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92,2.11,High Margin,Low Profit
Standard Class,United States,Virginia,Alexandria,Chocolate,Gulf,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92,2.11,High Margin,Low Profit
First Class,United States,South Dakota,Rapid City,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33,2.45,High Margin,Low Profit
Standard Class,United States,Virginia,Alexandria,Chocolate,Gulf,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92,2.11,High Margin,Low Profit
Standard Class,United States,Virginia,Alexandria,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33,2.45,High Margin,Low Profit
Standard Class,United States,Virginia,Alexandria,Chocolate,Gulf,Wonka Bar - Milk Chocolate,26,8,16.88,9.12,64.92,2.11,High Margin,High Profit
Standard Class,United States,Virginia,Alexandria,Chocolate,Gulf,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.67,2.4,High Margin,Low Profit
Standard Class,United States,Virginia,Alexandria,Chocolate,Gulf,Wonka Bar - Milk Chocolate,42.25,13,27.43,14.82,64.92,2.11,High Margin,High Profit
Standard Class,United States,California,San Diego,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3,71.35,2.49,High Margin,Low Profit
Standard Class,United States,California,San Diego,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,15,4,9.8,5.2,65.33,2.45,High Margin,High Profit
Standard Class,United States,California,San Diego,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,3.6,1,2.5,1.1,69.44,2.5,High Margin,Loss Making
Standard Class,United States,New York,New York City,Chocolate,Atlantic,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,64.92,2.11,High Margin,Loss Making
Standard Class,United States,Michigan,Detroit,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2,71.35,2.49,High Margin,Low Profit
Standard Class,United States,Michigan,Detroit,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2,71.35,2.49,High Margin,Low Profit
First Class,United States,California,Mission Viejo,Chocolate,Pacific,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92,2.11,High Margin,Low Profit
First Class,United States,Wisconsin,Green Bay,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,21.6,6,15,6.6,69.44,2.5,High Margin,High Profit
Standard Class,United States,Florida,Saint Petersburg,Chocolate,Gulf,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92,2.11,High Margin,Low Profit
Standard Class,United States,California,San Diego,Chocolate,Pacific,Wonka Bar - Fudge Mallows,18,5,12,6,66.67,2.4,High Margin,High Profit
Standard Class,United States,Florida,Saint Petersburg,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,65.33,2.45,High Margin,High Profit
Second Class,United States,Washington,Seattle,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3,71.35,2.49,High Margin,Low Profit
Second Class,United States,Washington,Seattle,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2,69.44,2.5,High Margin,Low Profit
Second Class,United States,California,Escondido,Chocolate,Pacific,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.67,2.4,High Margin,Low Profit
Standard Class,United States,California,San Diego,Chocolate,Pacific,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33,2.45,High Margin,Low Profit
Standard Class,United States,California,San Diego,Other,Pacific,Kazookles,13,4,1,12,7.69,0.25,Low Margin,Loss Making
Second Class,United States,Illinois,Romeoville,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2,71.35,2.49,High Margin,Low Profit
First Class,United States,Virginia,Chesapeake,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,15,4,9.8,5.2,65.33,2.45,High Margin,High Profit
First Class,United States,Virginia,Chesapeake,Chocolate,Gulf,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5,71.35,2.49,High Margin,High Profit
First Class,United States,Virginia,Chesapeake,Chocolate,Gulf,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,64.92,2.11,High Margin,Loss Making
Second Class,United States,New York,New York City,Chocolate,Atlantic,Wonka Bar - Milk Chocolate,13,4,8.44,4.56,64.92,2.11,High Margin,Low Profit
Standard Class,United States,New Jersey,Linden,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,25.2,7,16.8,8.4,66.67,2.4,High Margin,High Profit
First Class,United States,Nevada,North Las Vegas,Other,Pacific,Wonka Gum,2.5,2,1.3,1.2,52,0.65,High Margin,Loss Making
Second Class,United States,Missouri,Columbia,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3,65.33,2.45,High Margin,Loss Making
Second Class,United States,Missouri,Columbia,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33,2.45,High Margin,Low Profit
Standard Class,United States,Virginia,Chesapeake,Chocolate,Gulf,Wonka Bar - Milk Chocolate,19.5,6,12.66,6.84,64.92,2.11,High Margin,High Profit
Standard Class,United States,Virginia,Chesapeake,Chocolate,Gulf,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92,2.11,High Margin,Low Profit
Second Class,United States,Missouri,Columbia,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3,71.35,2.49,High Margin,Low Profit
Second Class,United States,Missouri,Columbia,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2,69.44,2.5,High Margin,Low Profit
Second Class,United States,Missouri,Columbia,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44,2.5,High Margin,Low Profit
Second Class,United States,Missouri,Columbia,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33,2.45,High Margin,Low Profit
Standard Class,United States,Virginia,Chesapeake,Chocolate,Gulf,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44,2.5,High Margin,Low Profit
Standard Class,United States,California,Concord,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2,69.44,2.5,High Margin,Low Profit
Standard Class,United States,Washington,Seattle,Chocolate,Pacific,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.67,2.4,High Margin,Low Profit
Second Class,United States,Texas,Houston,Chocolate,Interior,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92,2.11,High Margin,Low Profit
Standard Class,United States,Washington,Seattle,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2,69.44,2.5,High Margin,Low Profit
Standard Class,United States,Washington,Seattle,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44,2.5,High Margin,Low Profit
Standard Class,United States,Washington,Seattle,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,18,5,12.5,5.5,69.44,2.5,High Margin,High Profit
Standard Class,United States,Texas,Dallas,Chocolate,Interior,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.67,2.4,High Margin,Low Profit
Standard Class,United States,Texas,Dallas,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33,2.45,High Margin,Low Profit
Standard Class,United States,Illinois,Chicago,Chocolate,Interior,Wonka Bar - Milk Chocolate,45.5,14,29.54,15.96,64.92,2.11,High Margin,High Profit
Same Day,United States,Texas,Lubbock,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,65.33,2.45,High Margin,High Profit
Standard Class,United States,Texas,Arlington,Chocolate,Interior,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.67,2.4,High Margin,Low Profit
Standard Class,United States,Indiana,Richmond,Chocolate,Interior,Wonka Bar - Milk Chocolate,13,4,8.44,4.56,64.92,2.11,High Margin,Low Profit
Standard Class,United States,California,Los Angeles,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2,69.44,2.5,High Margin,Low Profit
Standard Class,United States,Indiana,Richmond,Chocolate,Interior,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92,2.11,High Margin,Low Profit
Standard Class,United States,Illinois,Woodstock,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,65.33,2.45,High Margin,High Profit
First Class,United States,California,Moreno Valley,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3,71.35,2.49,High Margin,Low Profit
Standard Class,United States,Texas,El Paso,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44,2.5,High Margin,Low Profit
Standard Class,United States,Texas,El Paso,Other,Interior,Wonka Gum,3.75,3,1.95,1.8,52,0.65,High Margin,Loss Making
Standard Class,United States,Oregon,Medford,Chocolate,Pacific,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,66.67,2.4,High Margin,Low Profit
Standard Class,United States,Oregon,Medford,Chocolate,Pacific,Wonka Bar - Milk Chocolate,13,4,8.44,4.56,64.92,2.11,High Margin,Low Profit
First Class,United States,Ohio,Columbus,Chocolate,Atlantic,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,66.67,2.4,High Margin,High Profit
Standard Class,United States,Illinois,Elmhurst,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6,71.35,2.49,High Margin,High Profit
Standard Class,United States,Texas,El Paso,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,21.6,6,15,6.6,69.44,2.5,High Margin,High Profit
Second Class,United States,Washington,Seattle,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2,69.44,2.5,High Margin,Low Profit
Standard Class,United States,Texas,El Paso,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,22.5,6,14.7,7.8,65.33,2.45,High Margin,High Profit
Standard Class,United States,Texas,Houston,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44,2.5,High Margin,Low Profit
Standard Class,United States,Texas,El Paso,Chocolate,Interior,Wonka Bar - Fudge Mallows,18,5,12,6,66.67,2.4,High Margin,High Profit
Standard Class,United States,Illinois,Elmhurst,Other,Interior,Lickable Wallpaper,60,3,30,30,50,10,High Margin,High Profit
Standard Class,United States,Texas,El Paso,Chocolate,Interior,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33,2.45,High Margin,Low Profit
Standard Class,United States,Texas,Houston,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44,2.5,High Margin,Low Profit
Standard Class,United States,New York,New York City,Chocolate,Atlantic,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44,2.5,High Margin,Low Profit
Standard Class,United States,New York,New York City,Chocolate,Atlantic,Wonka Bar - Milk Chocolate,6.5,2,4.22,2.28,64.92,2.11,High Margin,Low Profit
Standard Class,United States,Pennsylvania,Philadelphia,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,3.75,1,2.45,1.3,65.33,2.45,High Margin,Loss Making
Standard Class,United States,New York,New York City,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,17.45,5,12.45,5,71.35,2.49,High Margin,High Profit
Standard Class,United States,Pennsylvania,Philadelphia,Chocolate,Atlantic,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92,2.11,High Margin,Low Profit
Standard Class,United States,Ohio,Columbus,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,18.75,5,12.25,6.5,65.33,2.45,High Margin,High Profit
Standard Class,United States,California,San Diego,Chocolate,Pacific,Wonka Bar - Milk Chocolate,9.75,3,6.33,3.42,64.92,2.11,High Margin,Low Profit
Standard Class,United States,Texas,Houston,Chocolate,Interior,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3,71.35,2.49,High Margin,Low Profit
Second Class,United States,North Carolina,Wilmington,Chocolate,Gulf,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,66.67,2.4,High Margin,High Profit
Standard Class,United States,New York,New York City,Chocolate,Atlantic,Wonka Bar -Scrumdiddlyumptious,18,5,12.5,5.5,69.44,2.5,High Margin,High Profit
Standard Class,United States,New York,New York City,Chocolate,Atlantic,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44,2.5,High Margin,Low Profit
Standard Class,United States,Ohio,Columbus,Chocolate,Atlantic,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44,2.5,High Margin,Low Profit
Standard Class,United States,Ohio,Columbus,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,27.92,8,19.92,8,71.35,2.49,High Margin,High Profit
Standard Class,United States,New York,New York City,Chocolate,Atlantic,Wonka Bar - Milk Chocolate,3.25,1,2.11,1.14,64.92,2.11,High Margin,Loss Making
Standard Class,United States,Florida,Margate,Chocolate,Gulf,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3,71.35,2.49,High Margin,Low Profit
Same Day,United States,South Carolina,Columbia,Chocolate,Gulf,Wonka Bar - Fudge Mallows,18,5,12,6,66.67,2.4,High Margin,High Profit
Second Class,United States,New York,Yonkers,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33,2.45,High Margin,Low Profit
Second Class,United States,New York,Yonkers,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6,71.35,2.49,High Margin,High Profit
Second Class,United States,New York,Yonkers,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,7.5,2,4.9,2.6,65.33,2.45,High Margin,Low Profit
Second Class,United States,New York,Yonkers,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2,71.35,2.49,High Margin,Low Profit
Second Class,United States,New York,Yonkers,Chocolate,Atlantic,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33,2.45,High Margin,Low Profit
Standard Class,United States,Washington,Seattle,Other,Pacific,Kazookles,19.5,6,1.5,18,7.69,0.25,Low Margin,Loss Making
First Class,United States,Washington,Seattle,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,3.49,1,2.49,1,71.35,2.49,High Margin,Loss Making
Standard Class,United States,Washington,Seattle,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,6.98,2,4.98,2,71.35,2.49,High Margin,Low Profit
Standard Class,United States,Washington,Seattle,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,18,5,12.5,5.5,69.44,2.5,High Margin,High Profit
First Class,United States,Washington,Seattle,Chocolate,Pacific,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,66.67,2.4,High Margin,Low Profit
Second Class,United States,Washington,Des Moines,Chocolate,Pacific,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.67,2.4,High Margin,Low Profit
Standard Class,United States,Washington,Seattle,Chocolate,Pacific,Wonka Bar - Fudge Mallows,18,5,12,6,66.67,2.4,High Margin,High Profit
First Class,United States,Washington,Seattle,Chocolate,Pacific,Wonka Bar - Fudge Mallows,10.8,3,7.2,3.6,66.67,2.4,High Margin,Low Profit
Standard Class,United States,Colorado,Denver,Chocolate,Pacific,Wonka Bar - Fudge Mallows,14.4,4,9.6,4.8,66.67,2.4,High Margin,High Profit
Standard Class,United States,Michigan,Royal Oak,Chocolate,Interior,Wonka Bar -Scrumdiddlyumptious,7.2,2,5,2.2,69.44,2.5,High Margin,Low Profit
Standard Class,United States,Colorado,Denver,Chocolate,Pacific,Wonka Bar - Nutty Crunch Surprise,10.47,3,7.47,3,71.35,2.49,High Margin,Low Profit
Second Class,United States,Ohio,Columbus,Chocolate,Atlantic,Wonka Bar - Milk Chocolate,16.25,5,10.55,5.7,64.92,2.11,High Margin,High Profit
Second Class,United States,Kentucky,Richmond,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33,2.45,High Margin,Low Profit
Standard Class,United States,California,Roseville,Chocolate,Pacific,Wonka Bar -Scrumdiddlyumptious,10.8,3,7.5,3.3,69.44,2.5,High Margin,Low Profit
Second Class,United States,Ohio,Columbus,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,20.94,6,14.94,6,71.35,2.49,High Margin,High Profit
Second Class,United States,Kentucky,Richmond,Chocolate,Gulf,Wonka Bar - Triple Dazzle Caramel,11.25,3,7.35,3.9,65.33,2.45,High Margin,Low Profit
Second Class,United States,New York,New York City,Chocolate,Atlantic,Wonka Bar - Nutty Crunch Surprise,48.86,14,34.86,14,71.35,2.49,High Margin,High Profit
Second Class,United States,Kentucky,Richmond,Chocolate,Gulf,Wonka Bar - Fudge Mallows,7.2,2,4.8,2.4,66.67,2.4,High Margin,Low Profit
